Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.5871	0	0	0	LastDelay	0.087096	87096	1	3
1.5871	0	0	0	FullDelay	0.087096	87096	1	3
2.58642	0	0	1	LastDelay	0.086424	86424	1	3
2.58642	0	0	1	FullDelay	0.086424	86424	1	3
4.0871	0	0	1	LastDelay	0.087096	87096	1	3
4.0871	0	0	1	FullDelay	0.087096	87096	1	3
5.08642	0	0	2	LastDelay	0.086424	86424	1	3
5.08642	0	0	2	FullDelay	0.086424	86424	1	3
6.5871	0	0	2	LastDelay	0.087096	87096	1	3
6.5871	0	0	2	FullDelay	0.087096	87096	1	3
7.58642	0	0	3	LastDelay	0.086424	86424	1	3
7.58642	0	0	3	FullDelay	0.086424	86424	1	3
9.0871	0	0	3	LastDelay	0.087096	87096	1	3
9.0871	0	0	3	FullDelay	0.087096	87096	1	3
10.0864	0	0	4	LastDelay	0.086424	86424	1	3
10.0864	0	0	4	FullDelay	0.086424	86424	1	3
11.5871	0	0	4	LastDelay	0.087096	87096	1	3
11.5871	0	0	4	FullDelay	0.087096	87096	1	3
12.5864	0	0	5	LastDelay	0.086424	86424	1	3
12.5864	0	0	5	FullDelay	0.086424	86424	1	3
14.0871	0	0	5	LastDelay	0.087096	87096	1	3
14.0871	0	0	5	FullDelay	0.087096	87096	1	3
15.0864	0	0	6	LastDelay	0.086424	86424	1	3
15.0864	0	0	6	FullDelay	0.086424	86424	1	3
16.5871	0	0	6	LastDelay	0.087096	87096	1	3
16.5871	0	0	6	FullDelay	0.087096	87096	1	3
17.5864	0	0	7	LastDelay	0.086424	86424	1	3
17.5864	0	0	7	FullDelay	0.086424	86424	1	3
19.0871	0	0	7	LastDelay	0.087096	87096	1	3
19.0871	0	0	7	FullDelay	0.087096	87096	1	3
