Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	7	0	0	LastDelay	0.028808	28808	1	1
1.02881	7	0	0	FullDelay	0.028808	28808	1	1
1.5871	0	0	0	LastDelay	0.087096	87096	1	3
1.5871	0	0	0	FullDelay	0.087096	87096	1	3
2.02895	8	0	0	LastDelay	0.028952	28952	1	1
2.02895	8	0	0	FullDelay	0.028952	28952	1	1
2.58642	0	0	3	LastDelay	0.086424	86424	1	3
2.58642	0	0	3	FullDelay	0.086424	86424	1	3
3.0871	7	0	0	LastDelay	0.087096	87096	1	3
3.0871	7	0	0	FullDelay	0.087096	87096	1	3
4.08642	8	0	2	LastDelay	0.086424	86424	1	3
4.08642	8	0	2	FullDelay	0.086424	86424	1	3
4.09548	0	0	3	LastDelay	0.09548	95480	1	3
4.09548	0	0	3	FullDelay	0.09548	95480	1	3
5.02895	7	0	3	LastDelay	0.028952	28952	1	1
5.02895	7	0	3	FullDelay	0.028952	28952	1	1
5.08642	0	0	6	LastDelay	0.086424	86424	1	3
5.08642	0	0	6	FullDelay	0.086424	86424	1	3
6.0871	8	0	2	LastDelay	0.087096	87096	1	3
6.0871	8	0	2	FullDelay	0.087096	87096	1	3
6.5871	0	0	6	LastDelay	0.087096	87096	1	3
6.5871	0	0	6	FullDelay	0.087096	87096	1	3
7.08642	7	0	5	LastDelay	0.086424	86424	1	3
7.08642	7	0	5	FullDelay	0.086424	86424	1	3
7.58642	0	0	9	LastDelay	0.086424	86424	1	3
7.58642	0	0	9	FullDelay	0.086424	86424	1	3
8.02881	8	0	5	LastDelay	0.028808	28808	1	1
8.02881	8	0	5	FullDelay	0.028808	28808	1	1
9.0871	7	0	5	LastDelay	0.087096	87096	1	3
9.0871	7	0	5	FullDelay	0.087096	87096	1	3
9.09572	0	0	9	LastDelay	0.09572	95720	1	3
9.09572	0	0	9	FullDelay	0.09572	95720	1	3
10.0864	0	0	12	LastDelay	0.086424	86424	1	3
10.0864	0	0	12	FullDelay	0.086424	86424	1	3
10.0955	8	0	5	LastDelay	0.09548	95480	1	3
10.0955	8	0	5	FullDelay	0.09548	95480	1	3
11.0864	7	0	8	LastDelay	0.086424	86424	1	3
11.0864	7	0	8	FullDelay	0.086424	86424	1	3
11.5871	0	0	12	LastDelay	0.087096	87096	1	3
11.5871	0	0	12	FullDelay	0.087096	87096	1	3
12.0288	8	0	8	LastDelay	0.028808	28808	1	1
12.0288	8	0	8	FullDelay	0.028808	28808	1	1
12.5864	0	0	15	LastDelay	0.086424	86424	1	3
12.5864	0	0	15	FullDelay	0.086424	86424	1	3
13.0871	7	0	8	LastDelay	0.087096	87096	1	3
13.0871	7	0	8	FullDelay	0.087096	87096	1	3
14.0871	8	0	8	LastDelay	0.087096	87096	1	3
14.0871	8	0	8	FullDelay	0.087096	87096	1	3
14.0957	0	0	15	LastDelay	0.09572	95720	1	3
14.0957	0	0	15	FullDelay	0.09572	95720	1	3
15.0864	7	0	11	LastDelay	0.086424	86424	1	3
15.0864	7	0	11	FullDelay	0.086424	86424	1	3
15.0949	0	0	18	LastDelay	0.094904	94904	1	3
15.0949	0	0	18	FullDelay	0.094904	94904	1	3
16.0288	8	0	11	LastDelay	0.028808	28808	1	1
16.0288	8	0	11	FullDelay	0.028808	28808	1	1
16.5871	0	0	18	LastDelay	0.087096	87096	1	3
16.5871	0	0	18	FullDelay	0.087096	87096	1	3
17.0871	7	0	11	LastDelay	0.087096	87096	1	3
17.0871	7	0	11	FullDelay	0.087096	87096	1	3
17.5864	0	0	21	LastDelay	0.086424	86424	1	3
17.5864	0	0	21	FullDelay	0.086424	86424	1	3
18.0871	8	0	11	LastDelay	0.087096	87096	1	3
18.0871	8	0	11	FullDelay	0.087096	87096	1	3
19.0864	7	0	14	LastDelay	0.086424	86424	1	3
19.0864	7	0	14	FullDelay	0.086424	86424	1	3
19.0955	0	0	21	LastDelay	0.09548	95480	1	3
19.0955	0	0	21	FullDelay	0.09548	95480	1	3
