Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	3	0	0	LastDelay	0.028808	28808	1	1
1.02881	3	0	0	FullDelay	0.028808	28808	1	1
2.0579	6	0	0	LastDelay	0.057904	57904	1	2
2.0579	6	0	0	FullDelay	0.057904	57904	1	2
2.5	0	0	0	LastDelay	0	0	1	0
2.5	0	0	0	FullDelay	1	1e+06	3	0
3.0871	3	0	0	LastDelay	0.087096	87096	1	3
3.0871	3	0	0	FullDelay	0.087096	87096	1	3
4.0579	6	0	2	LastDelay	0.057904	57904	1	2
4.0579	6	0	2	FullDelay	0.057904	57904	1	2
4.5	0	0	0	LastDelay	0	0	1	0
4.5	0	0	0	FullDelay	1	1e+06	3	0
5.05762	3	0	3	LastDelay	0.057616	57616	1	2
5.05762	3	0	3	FullDelay	0.057616	57616	1	2
6.05762	0	0	3	LastDelay	0.057616	57616	1	2
6.05762	0	0	3	FullDelay	0.057616	57616	1	2
6.0579	6	0	4	LastDelay	0.057904	57904	1	2
6.0579	6	0	4	FullDelay	0.057904	57904	1	2
7.5975	3	0	3	LastDelay	0.597504	597504	1	3
7.5975	3	0	3	FullDelay	0.597504	597504	1	3
7.61613	0	0	3	LastDelay	0.116128	116128	1	4
7.61613	0	0	3	FullDelay	0.116128	116128	1	4
8.0579	6	0	6	LastDelay	0.057904	57904	1	2
8.0579	6	0	6	FullDelay	0.057904	57904	1	2
8.58642	0	0	6	LastDelay	0.086424	86424	1	3
8.58642	0	0	6	FullDelay	0.086424	86424	1	3
9.02881	3	0	6	LastDelay	0.028808	28808	1	1
9.02881	3	0	6	FullDelay	0.028808	28808	1	1
10.0579	6	0	8	LastDelay	0.057904	57904	1	2
10.0579	6	0	8	FullDelay	0.057904	57904	1	2
11	0	0	6	LastDelay	0	0	1	0
11	0	0	6	FullDelay	1	1e+06	3	0
11.0871	3	0	6	LastDelay	0.087096	87096	1	3
11.0871	3	0	6	FullDelay	0.087096	87096	1	3
12.0579	6	0	10	LastDelay	0.057904	57904	1	2
12.0579	6	0	10	FullDelay	0.057904	57904	1	2
13	0	0	6	LastDelay	0	0	1	0
13	0	0	6	FullDelay	1	1e+06	3	0
13.0576	3	0	9	LastDelay	0.057616	57616	1	2
13.0576	3	0	9	FullDelay	0.057616	57616	1	2
14.0579	6	0	12	LastDelay	0.057904	57904	1	2
14.0579	6	0	12	FullDelay	0.057904	57904	1	2
14.5576	0	0	9	LastDelay	0.057616	57616	1	2
14.5576	0	0	9	FullDelay	0.057616	57616	1	2
16.0579	6	0	14	LastDelay	0.057904	57904	1	2
16.0579	6	0	14	FullDelay	0.057904	57904	1	2
16.0975	3	0	9	LastDelay	0.097504	97504	1	3
16.0975	3	0	9	FullDelay	1.0975	1.0975e+06	2	3
16.1161	0	0	9	LastDelay	0.116128	116128	1	4
16.1161	0	0	9	FullDelay	0.116128	116128	1	4
17.0864	0	0	12	LastDelay	0.086424	86424	1	3
17.0864	0	0	12	FullDelay	0.086424	86424	1	3
18.0288	3	0	12	LastDelay	0.028808	28808	1	1
18.0288	3	0	12	FullDelay	0.028808	28808	1	1
18.0579	6	0	16	LastDelay	0.057904	57904	1	2
18.0579	6	0	16	FullDelay	0.057904	57904	1	2
19.5	0	0	12	LastDelay	0	0	1	0
19.5	0	0	12	FullDelay	1	1e+06	3	0
