Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.115808	0	0	0	LastDelay	0.115808	115808	1	4
0.115808	0	0	0	FullDelay	0.115808	115808	1	4
1.61581	0	0	2	LastDelay	0.115808	115808	1	4
1.61581	0	0	2	FullDelay	0.115808	115808	1	4
3.11581	0	0	4	LastDelay	0.115808	115808	1	4
3.11581	0	0	4	FullDelay	0.115808	115808	1	4
4.61581	0	0	6	LastDelay	0.115808	115808	1	4
4.61581	0	0	6	FullDelay	0.115808	115808	1	4
6.11581	0	0	8	LastDelay	0.115808	115808	1	4
6.11581	0	0	8	FullDelay	0.115808	115808	1	4
7.61581	0	0	10	LastDelay	0.115808	115808	1	4
7.61581	0	0	10	FullDelay	0.115808	115808	1	4
9.11581	0	0	12	LastDelay	0.115808	115808	1	4
9.11581	0	0	12	FullDelay	0.115808	115808	1	4
10.6158	0	0	14	LastDelay	0.115808	115808	1	4
10.6158	0	0	14	FullDelay	0.115808	115808	1	4
12.1158	0	0	16	LastDelay	0.115808	115808	1	4
12.1158	0	0	16	FullDelay	0.115808	115808	1	4
13.6158	0	0	18	LastDelay	0.115808	115808	1	4
13.6158	0	0	18	FullDelay	0.115808	115808	1	4
15.1158	0	0	20	LastDelay	0.115808	115808	1	4
15.1158	0	0	20	FullDelay	0.115808	115808	1	4
16.6158	0	0	22	LastDelay	0.115808	115808	1	4
16.6158	0	0	22	FullDelay	0.115808	115808	1	4
18.1158	0	0	24	LastDelay	0.115808	115808	1	4
18.1158	0	0	24	FullDelay	0.115808	115808	1	4
19.6158	0	0	26	LastDelay	0.115808	115808	1	4
19.6158	0	0	26	FullDelay	0.115808	115808	1	4
