Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086856	0	0	0	LastDelay	0.086856	86856	1	3
0.086856	0	0	0	FullDelay	0.086856	86856	1	3
1.58686	0	0	1	LastDelay	0.086856	86856	1	3
1.58686	0	0	1	FullDelay	0.086856	86856	1	3
3.08686	0	0	2	LastDelay	0.086856	86856	1	3
3.08686	0	0	2	FullDelay	0.086856	86856	1	3
4.58686	0	0	3	LastDelay	0.086856	86856	1	3
4.58686	0	0	3	FullDelay	0.086856	86856	1	3
6.08686	0	0	4	LastDelay	0.086856	86856	1	3
6.08686	0	0	4	FullDelay	0.086856	86856	1	3
7.58686	0	0	5	LastDelay	0.086856	86856	1	3
7.58686	0	0	5	FullDelay	0.086856	86856	1	3
9.08686	0	0	6	LastDelay	0.086856	86856	1	3
9.08686	0	0	6	FullDelay	0.086856	86856	1	3
10.5869	0	0	7	LastDelay	0.086856	86856	1	3
10.5869	0	0	7	FullDelay	0.086856	86856	1	3
12.0869	0	0	8	LastDelay	0.086856	86856	1	3
12.0869	0	0	8	FullDelay	0.086856	86856	1	3
13.5869	0	0	9	LastDelay	0.086856	86856	1	3
13.5869	0	0	9	FullDelay	0.086856	86856	1	3
15.0869	0	0	10	LastDelay	0.086856	86856	1	3
15.0869	0	0	10	FullDelay	0.086856	86856	1	3
16.5869	0	0	11	LastDelay	0.086856	86856	1	3
16.5869	0	0	11	FullDelay	0.086856	86856	1	3
18.0869	0	0	12	LastDelay	0.086856	86856	1	3
18.0869	0	0	12	FullDelay	0.086856	86856	1	3
19.5869	0	0	13	LastDelay	0.086856	86856	1	3
19.5869	0	0	13	FullDelay	0.086856	86856	1	3
