Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.086424	0	0	0	LastDelay	0.086424	86424	1	3
0.086424	0	0	0	FullDelay	0.086424	86424	1	3
1.02881	3	0	0	LastDelay	0.028808	28808	1	1
1.02881	3	0	0	FullDelay	0.028808	28808	1	1
1.36613	0	0	0	LastDelay	0.116128	116128	1	4
1.36613	0	0	0	FullDelay	0.116128	116128	1	4
1.83642	0	0	1	LastDelay	0.086424	86424	1	3
1.83642	0	0	1	FullDelay	0.086424	86424	1	3
2.02881	6	0	0	LastDelay	0.028808	28808	1	1
2.02881	6	0	0	FullDelay	0.028808	28808	1	1
3.0871	3	0	0	LastDelay	0.087096	87096	1	3
3.0871	3	0	0	FullDelay	0.087096	87096	1	3
3.11613	0	0	1	LastDelay	0.116128	116128	1	4
3.11613	0	0	1	FullDelay	0.116128	116128	1	4
3.58642	0	0	2	LastDelay	0.086424	86424	1	3
3.58642	0	0	2	FullDelay	0.086424	86424	1	3
4.11613	6	0	0	LastDelay	0.116128	116128	1	4
4.11613	6	0	0	FullDelay	0.116128	116128	1	4
4.86613	0	0	2	LastDelay	0.116128	116128	1	4
4.86613	0	0	2	FullDelay	0.116128	116128	1	4
5.02895	3	0	1	LastDelay	0.028952	28952	1	1
5.02895	3	0	1	FullDelay	0.028952	28952	1	1
5.33642	0	0	3	LastDelay	0.086424	86424	1	3
5.33642	0	0	3	FullDelay	0.086424	86424	1	3
6	6	0	1	LastDelay	0	0	1	0
6	6	0	1	FullDelay	0	0	1	0
6.61613	0	0	3	LastDelay	0.116128	116128	1	4
6.61613	0	0	3	FullDelay	0.116128	116128	1	4
7.02895	3	0	2	LastDelay	0.028952	28952	1	1
7.02895	3	0	2	FullDelay	0.028952	28952	1	1
7.08642	0	0	4	LastDelay	0.086424	86424	1	3
7.08642	0	0	4	FullDelay	0.086424	86424	1	3
8	6	0	2	LastDelay	0	0	1	0
8	6	0	2	FullDelay	0	0	1	0
8.36613	0	0	4	LastDelay	0.116128	116128	1	4
8.36613	0	0	4	FullDelay	0.116128	116128	1	4
8.83642	0	0	5	LastDelay	0.086424	86424	1	3
8.83642	0	0	5	FullDelay	0.086424	86424	1	3
9.02895	3	0	3	LastDelay	0.028952	28952	1	1
9.02895	3	0	3	FullDelay	0.028952	28952	1	1
10	6	0	3	LastDelay	0	0	1	0
10	6	0	3	FullDelay	0	0	1	0
10.1161	0	0	5	LastDelay	0.116128	116128	1	4
10.1161	0	0	5	FullDelay	0.116128	116128	1	4
10.5864	0	0	6	LastDelay	0.086424	86424	1	3
10.5864	0	0	6	FullDelay	0.086424	86424	1	3
11.029	3	0	4	LastDelay	0.028952	28952	1	1
11.029	3	0	4	FullDelay	0.028952	28952	1	1
11.8661	0	0	6	LastDelay	0.116128	116128	1	4
11.8661	0	0	6	FullDelay	0.116128	116128	1	4
12	6	0	4	LastDelay	0	0	1	0
12	6	0	4	FullDelay	0	0	1	0
12.3364	0	0	7	LastDelay	0.086424	86424	1	3
12.3364	0	0	7	FullDelay	0.086424	86424	1	3
13.029	3	0	5	LastDelay	0.028952	28952	1	1
13.029	3	0	5	FullDelay	0.028952	28952	1	1
13.6161	0	0	7	LastDelay	0.116128	116128	1	4
13.6161	0	0	7	FullDelay	0.116128	116128	1	4
14	6	0	5	LastDelay	0	0	1	0
14	6	0	5	FullDelay	0	0	1	0
14.0864	0	0	8	LastDelay	0.086424	86424	1	3
14.0864	0	0	8	FullDelay	0.086424	86424	1	3
15.029	3	0	6	LastDelay	0.028952	28952	1	1
15.029	3	0	6	FullDelay	0.028952	28952	1	1
15.3661	0	0	8	LastDelay	0.116128	116128	1	4
15.3661	0	0	8	FullDelay	0.116128	116128	1	4
15.8364	0	0	9	LastDelay	0.086424	86424	1	3
15.8364	0	0	9	FullDelay	0.086424	86424	1	3
16	6	0	6	LastDelay	0	0	1	0
16	6	0	6	FullDelay	0	0	1	0
17.029	3	0	7	LastDelay	0.028952	28952	1	1
17.029	3	0	7	FullDelay	0.028952	28952	1	1
17.1161	0	0	9	LastDelay	0.116128	116128	1	4
17.1161	0	0	9	FullDelay	0.116128	116128	1	4
17.5864	0	0	10	LastDelay	0.086424	86424	1	3
17.5864	0	0	10	FullDelay	0.086424	86424	1	3
18	6	0	7	LastDelay	0	0	1	0
18	6	0	7	FullDelay	0	0	1	0
18.8661	0	0	10	LastDelay	0.116128	116128	1	4
18.8661	0	0	10	FullDelay	0.116128	116128	1	4
19.029	3	0	8	LastDelay	0.028952	28952	1	1
19.029	3	0	8	FullDelay	0.028952	28952	1	1
19.3364	0	0	11	LastDelay	0.086424	86424	1	3
19.3364	0	0	11	FullDelay	0.086424	86424	1	3
